Species,Mass - average - g,Mass - adult - average - g,Mass - adult - female - average - g,Mass - adult - male - average - g,Mass - embryo - average - g,Mass - weanling - average - g,Mass - female - average - g,Mass - male - average - g,"Lifespan (wild, undetermined) - undetermined - average - years",Age at sexual or reproductive maturity (male) - average - years,Age at sexual or reproductive maturity (male) - male - average - years,Age at sexual or reproductive maturity (female) - average - years,Age at sexual or reproductive maturity (female) - female - average - years,Age at sexual or reproductive maturity (female) - male - average - years,"Lifespan (wild, female) - female - average - years",
Pteropus conspicillatus,755,,,,,,,,,,,,,,,
Pteropus dasymallus,435,,,,,,,,,,,0.025,,,,
Pteropus giganteus,1100,,,,,,,,,1.5,1.0139,0.025,0.0169,,,
Pteropus hypomelanus,521.75,,,,,,,,,1,,0.0167,,,,
Pteropus livingstonii,650,,,,,,,,,,,,,,,
Pteropus mariannus,453.5,,,,,,,,,1,,0.0167,,,,
Pteropus poliocephalus,677,,,,,,,,3.37,2.5,1.5,,0.025,,,
Pteropus pumilus,172.5,,,,,,,,,,,,,,,
Pteropus rodricensis,325,,,,,,,,,1.5,,0.025,,,,
Pteropus rufus,625,,,,,,,,30,1.75,,0.0292,,,,
Pteropus samoensis,450,,,,,,,,,,,,,,,
Pteropus tokudae,152,,,,,,,,,,,,,,,
Pteropus tonganus,565,,,,,,,,,1.75,,0.0292,,,,
Pteropus vampyrus,850,,,,,,,,15,2,,0.0333,,,,
Ptilocercus lowii,51,,,,,,,,,,,,,,,
Ptilopsis granti,230,,,,,,,,,,,,,,,
Pudu puda,10000,,,,,,,,10,1,,0.0167,,,,
Puffinus gravis,832.5,,,,,,,,7.08,,,,,,,
Pugettia producta,,,,,,,,,,,,,,,,
Pulsatrix perspicillata,679.5,,,,,,,,35,4,,0.0667,,,,
Puma concolor,74500,,,,,,,,19,3,2.5333,0.0417,0.0422,,,
Puma concolor coryi,43500,,,,,,,,,,,,,,,
Puma yagouaroundi,6750,,,,,,,,,,,0.0417,,,,
Pusa caspica,55000,,,,,,,,35,6.5,,0.1,,,,
Pusa hispida,78000,,,,,,,,21.5,9,,0.0767,,,,
Pusa sibirica,90000,,,,,,,,,5.5,,0.075,,,,
Pygathrix cinerea,9550,,,,,,,,,,,,,,,
Pygathrix nemaeus,9720,,,,,,,,,4.5,,0.075,,,,
Pygoscelis adeliae,4300,,,,,,,,10.5,5,,0.0667,,,,
Pygoscelis antarcticus,4000,,,,,,,,,,,,,,,
Pygoscelis papua,6500,,,,,,,,13,2,,0.0333,,,,
Pylodictis olivaris,20400,,,,,,,,28,4,,0.0667,,,,
Pyrocephalus rubinus,12.5,,,,,,,,5.5,2,,0.0333,,,,
Python molurus,137000,,,,,,,,,2.5,,0.0417,,,,
Python reticulatus,150000,,,,,,,,20,3.5,,0.0667,,,,
Python sebae,55000,,,,,,,,,4,,0.0667,,,,
Quiscalus quiscula,111.5,,,,,,,,22.92,,,,,,,
Raja clavata,18000,,,,,,,,13.5,7.1,,0.1467,,,,
Raja eglanteria,3500,,,,,,,,5,3,,0.0833,,,,
Rallus elegans,392,,,,,,,,7,,,,,,,
Ramphastos sulfuratus,400,,,,,,,,,,,,,,,
Ramphastos swainsonii,665,,,,,,,,,,,,,,,
Ramphastos toco,676,,,,,,,,26,3.5,,0.0583,,,,
Rana temporaria,22.7,,,,,,,,14,,3.0417,,0.0507,,,
Rangifer tarandus,186500,,,,,,,,12.5,,1.8889,0.0389,,,10,10
Raphicerus campestris,11500,,,,,,,,,,0.675,,0.011,,,
Raphicerus melanotis,15500,,,,,,,,,,,,,,,
Raphicerus sharpei,11500,,,,,,,,,1.0417,,0.0174,,,,
Raphus cucullatus,18000,,,,,,,,,,,,,,,
Rattus exulans,60,,,,,,,,1,0.8333,,0.0139,,,,
Rattus lutreolus,115,,,,,,,,2.4,,,,0.0037,,,
Rattus norvegicus,400,,,,,,,,2,0.2917,,0.0049,,,,
Rattus rattus,200,,,,,,,,1,0.3333,,0.0056,,,,
Ratufa bicolor,,1546,,,,,,,,,,,,,,
Ratufa indica,1750,,,,,,,,,,,,,,,
Ratufa macroura,2250,,,,,,,,,,,,,,,
Recurvirostra americana,340,,,,,,,,14,,,,,,,
Redunca arundinum,58000,,,,,,,,11,4,,0.0333,,,,
Redunca fulvorufula,30000,,,,,,,,12,1,0.9306,0.0167,,,,
Redunca redunca,45500,,,,,,,,,,1.3944,,0.0232,,,
Regina alleni,45.1,,,,,,,,,2,,0.0333,,,,
Regulus calendula,7.35,,,,,,,,5.58,1,,0.0167,,,,
Reithrodon auritus,80,,,,,,,,0.31,0.25,,0.0028,0.0028,,,
Reithrodontomys fulvescens,18,,,,,,,,,,,,,,,
Reithrodontomys megalotis,12.5,,,,,,,,1.5,0.375,0.2222,0.0063,0.005,,,
Reithrodontomys montanus,9.5,,,,,,,,,0.1944,,0.0032,,,,
Reithrodontomys raviventris,11.01,,,,,,,,1.5,,,,,,,
Rhacodactylus ciliatus,32.5,,,,,,,,,0.875,,0.0167,,,,
Rhea americana,23000,,,,,,,,,,,,,,,
Rhincodon typus,30844000,,,,,,,,150,,,,,,,
Rhinella marina,106.25,,,,,,,,10,,,,,,,
Rhinobatos productus,6640,,,,,,,,13.5,8,,0.1167,,,,
Rhinoceros sondaicus,1150000,,,,,,,,,,,,0.0592,,,
Rhinoceros unicornis,1750000,,,,,,,,40,,7.1028,,0.0777,,,
Rhinolophus blasii,13.5,,,,,,,,,2,,0.0333,,,,
Rhinolophus capensis,22.25,,,,,,,,,1,,0.0167,,,,
Rhinolophus denti,6,,,,,,,,,,,,,,,
Rhinolophus euryale,12.75,,,,,,,,,2,,0.0333,,,,
Rhinolophus ferrumequinum,25.5,,,,,,,,30,3,,0.05,,,,
Rhinolophus hipposideros,7,,,,,,,,3.5,1,1.3083,0.0167,0.0231,,,
Rhinolophus inops,,13.5,,,,,,,,,,,,,,
Rhinolophus megaphyllus,7.5,,,,,,,,,2,,0.05,,,,
Rhinophylla pumilio,10,,,,,,,,,,,,,,,
Rhinopoma hardwickii,11,,,,,,,,,1.375,,0.0125,,,,
Rhinosciurus laticaudatus,221,,,,,,,,,,,,,,,
Rhodonessa caryophyllacea,1076.5,,,,,,,,,,,,,,,
Rhombomys opimus,285,,,,,,,,3,,0.2917,0.0049,,,4,4
Rhynchocyon chrysopygus,540,,,,,,,,4,,,,0.0018,,,
Rhynchocyon cirnei,479,,,,,,,,4.5,,,,,,,
Rhynchonycteris naso,3.85,,,,,,,,,,,0.025,,,,
Riparia riparia,14.5,,,,,,,,9,1,,0.0167,,,,
Rissa tridactyla,317,,,,,,,,25.58,,,,,,,
Romerolagus diazi,494.25,,,,,,,,,0.4167,,0.0111,,,,
Rostrhamus sociabilis,453.5,,,,,,,,14.67,,,,,,,
Rousettus aegyptiacus,125,,,,,,,,9,1.25,,0.0208,,,,
Rucervus duvaucelii,176500,,,,,,,,20,,,0.0417,,,,
Rucervus eldii,100000,,,,,,,,,,,0.0333,,,,
Rungwecebus kipunji,13000,,,,,,,,,,,,,,,
Rupicapra pyrenaica,37000,,,,,,,,22,8.5,,0.1417,,,,
Rupicapra rupicapra,40000,,,,,,,,20,3.25,,0.0542,,,,
Rusa alfredi,47500,,,,,,,,,,,,,,,
Rusa timorensis,117000,,,,,,,,17.5,1.75,,0.0292,,,,
Rusa unicolor,184500,,,,,,,,20,2,,0.0333,,,,
Rynchops niger,315,,,,,,,,20,4,,0.05,,,,
Saccopteryx bilineata,8.9,,,,,,,,6,1,,0.0167,,,,
Saccostomus campestris,62.5,,,,,,,,,,,,0.0021,,,
Sacculina carcini,1,,,,,,,,,,,,,,,
Sagittarius serpentarius,3285,,,,,,,,,,,,,,,
Saguinus bicolor,430,,,,,,,,,2,,0.025,,,,
Saguinus fuscicollis,456.5,,,,,,,,,,2.0278,,0.0253,,,
Saguinus geoffroyi,400,,,,,,,,,2,,0.0333,0.0254,,,
Saguinus graellsi,562.5,,,,,,,,,1.25,,0.0208,,,,
Saguinus imperator,518.5,,,,,,,,,1.5,,0.025,,,,
Saguinus labiatus,512.5,,,,,,,,,3,,0.05,,,,
Saguinus midas,475,,,,,,,,,1.5,,0.025,,,,
Saguinus mystax,501,,,,,,,,,1.5,1.5,0.0225,0.0225,,,
Saguinus nigricollis,475,,,,,,,,13.9,1.75,,0.0292,,,,
Saguinus oedipus,320,,,,,,,,,2,1.5278,0.025,0.0254,,,
Saguinus tripartitus,355,,,,,,,,6,,,,,,,
Saiga tatarica,37500,,,,,,,,12,,1.8583,,0.0153,,,
Saimiri boliviensis,750,,,,,,,,,5,,0.0458,,,,
Saimiri oerstedii,800,,,,,,,,,5,,0.0167,,,,
Saimiri sciureus,925,,,,,,,,21,4,5.0722,0.0417,0.0464,,,
Saimiri vanzolinii,910,,,,,,,,15,3.25,,0.0417,,,,
Salamandra salamandra,19.1,,,,,,,,,,,,,,,
Salmo salar,19090,,,,,,,,5,1.5,,0.025,,,,
Salmo trutta,12250,,,,,,,,38,5.5,,0.0917,,,,
Salpingotus pallidus,9.8,,,,,,,,2.5,0.875,,0.0146,,,,
Salvelinus confluentus,6500,,,,,,,,11,7,,0.1167,,,,
Salvelinus fontinalis,3500,,,,,,,,24,2,2.0278,0.0333,0.0338,,16,16
Salvelinus namaycush,3000,,,,,,,,41,,13.1806,,0.2281,,,
Sander vitreus,11000,,,,,,,,16.5,3,,0.075,,,,
Sarcophilus harrisii,8000,,,,,,,,5,,,0.0333,,,,
Sarcoramphus papa,3750,,,,,,,,,,,,,,,
Sarotherodon melanotheron,37.5,,,,,,,,9,2.5,,0.0417,,,,
Sauromalus ater,245,,,,,,,,15,2,,0.0417,,,,
Sayornis phoebe,21.6,,,,,,,,10.33,,,,,,,
Scalopus aquaticus,74.6,,,,,,,,3,1,0.9306,0.0167,0.0155,,,
Scapanus orarius,76,,,,,,,,3.5,0.7917,,0.0132,,,,
Scapanus townsendii,130,,,,,,,,,0.8333,,0.0139,,,,
Scaphirhynchus platorynchus,2500,,,,,,,,30,5,,0.1167,,,,
Sceloporus undulatus,15,,,,,,,,4,1.5,,0.025,,,,
Sciaenops ocellatus,22000,,,,,,,,35,5,,0.05,,,,
Sciurus aberti,620,,,,,,,,,0.9083,,0.0151,0.0151,,,
Sciurus carolinensis,540.33,,,,,,,,12.5,1.25,,0.0208,,,,
Sciurus deppei,205,,,,,,,,,,,,,,,
Sciurus granatensis,374,,,,,,,,7,1,,0.0167,,,,
Sciurus griseus,650,,,,,,,,,,,,0.0148,,,
Sciurus niger,800,,,,,,,,0.58,1,0.9806,0.0167,0.0163,,,
Sciurus oculatus,638,,,,,,,,,,,0.0333,,,,
Sciurus variegatoides,668.5,,,,,,,,12,0.2625,,0.0044,,,,
Sciurus vulgaris,600,,,,,,,,12,1,0.8889,0.0167,0.0137,,,
Scolopax minor,197.5,,,,,,,,20.92,0.9167,,0.0153,,,,
Scolopendra gigantea,,,,,,,,,,,,,,,,
Scutisorex somereni,72.5,,,,,,,,,,,,,,,
Scyliorhinus retifer,340,,,,,,,,,8.5,,0.1417,,,,
Sebastes caurinus,2600,,,,,,,,55,5,,0.1333,,,,
Seiurus aurocapilla,21,,,,,,,,11,,,,,,,
Seiurus motacilla,20.5,,,,,,,,8,,,,,,,
Seiurus noveboracensis,18.7,,,,,,,,8.92,,,,,,,
Sekeetamys calurus,64,,,,,,,,2.08,0.1944,,0.0032,,,,
Selasphorus platycercus,3.5,,,,,,,,1.75,1,,0.0167,,,,
Selasphorus rufus,3.37,,,,,,,,8.92,,,,,,,
Selasphorus sasin,3,,,,,,,,4,,,,,,,
Semicossyphus pulcher,16000,,,,,,,,53,4,,0.0667,,,,
Semnopithecus entellus,11450,,,,,,,,24,5,,0.0483,,,,
Sepia apama,10500,,,,,,,,1,1,,0.0167,,,,
Sepia officinalis,3000,,,,,,,,1.5,1.2917,,0.0222,,,,
Sepioteuthis lessoniana,400,,,,,,,,0.47,0.3333,,0.0079,,,,
Sericulus chrysocephalus,100,,,,,,,,,,,,,,,
Serinus mozambicus,13,,,,,,,,2.5,0.5,,0.0083,,,,
Seriola lalandi,70000,,,,,,,,5,3,,0.05,,,,
Setonix brachyurus,3450,,,,,,,,,,1.0806,,0.0117,,10,10
Setophaga ruticilla,8.3,,,,,,,,10,1,,0.0167,,,,
Sialia mexicana,27.5,,,,,,,,6.08,1,,0.0167,,,,
Sialia sialis,30.5,,,,,,,,10.42,1,,0.0167,,,,
Sigmodon arizonae,172,,,,,,,,,0.25,,0.0012,,,,
Sigmodon fulviventer,210,,,,,,,,0.17,0.1167,,0.0019,,,,
Sigmodon hispidus,159,,,,,,,,0.5,0.4167,,0.0069,,,,
Silurus glanis,45000,,,,,,,,25,3,2.5333,0.0667,0.0591,,,
Simias concolor,7900,,,,,,,,,,,,,,,
Sitta canadensis,10,,,,,,,,7.5,1,,0.0167,,,,
Sitta carolinensis,20,,,,,,,,10,1,,0.0167,,,,
Sitta pusilla,10.8,,,,,,,,5.8,1,,0.0167,,,,
Sitta pygmaea,10.15,,,,,,,,3.5,,,,,,,
Sminthopsis crassicaudata,16,,,,,,,,,,0.4417,,0.0053,,1.5,1.5
Sminthopsis longicaudata,18,,,,,,,,,,,,,,,
Sminthopsis macroura,20.6,,,,,,,,,,0.4417,,0.0055,,,
Solenodon cubanus,1000,,,,,,,,,,,,,,,
Solenodon paradoxus,800,,,,,,,,,,,,,,,
Somateria fischeri,1615,,,,,,,,8.83,,,,,,,
Somateria mollissima,1800,,,,,,,,22.58,3,,0.05,,,,
Somateria spectabilis,1618,,,,,,,,18,3,,0.05,,,,
Somniosus microcephalus,850000,,,,,,,,,,,,,,,
Sorex alpinus,7.8,,,,,,,,1.33,,,,,,,
Sorex araneus,9.5,,,,,,,,2,0.7917,,0.0132,,,,
Sorex arcticus,9.4,,,,,,,,1.5,1,,0.0167,0.0169,,,
Sorex cinereus,3.25,,,,,,,,2,0.6667,,0.0111,,,,
Sorex dispar,5,,,,,,,,2,,,,,,,
Sorex fumeus,8.5,,,,,,,,1,0.5,0.8444,0.0083,0.0141,,,
Sorex gaspensis,3.25,,,,,,,,,,,,,,,
Sorex hoyi,3,,,,,,,,,,,,,,,
Sorex merriami,5.5,,,,,,,,1,1,,0.0167,,,,
Sorex minutus,,,,,,,,,1.75,,,,,,,
Sorex monticolus,5.5,,,,,,,,,,,,0.0169,,,
Sorex palustris,13,,,,,,,,1.5,,,,0.0042,,,
Sorex tundrensis,6.9,,,,,,,,1.25,,,,,,,
Sotalia fluviatilis,55000,,,,,,,,35,6,,0.1,,,,
Sousa chinensis,265000,,,,,,,,40,12.5,,0.1583,,,,
Sousa teuszii,125000,,,,,,,,0,5.5,,0.0917,,,,
Spalacopus cyanus,100,,,,,,,,,,,,,,,
Spalax ehrenbergi,325,,,,,,,,3,,,,,,,
Sparisoma viride,1600,,,,,,,,8,4,,0.0667,,,,
Spea bombifrons,30,,,,,,,,13,2,,0.0333,,,,
Speothos venaticus,6000,,,,,,,,,,1.0139,,0.0141,,,
Spermophilus armatus,354.5,,,,,,,,,,,,,,,
Spermophilus beecheyi,509,,,,,,,,6,1,,0.0167,,,,
Spermophilus beldingi,290,,,,,,,,,,1.5194,,0.0169,,,
Spermophilus brunneus,199.5,,,,,,,,,,,0.0167,,,,
Spermophilus citellus,217,,,,,,,,,,0.8722,,0.0145,,,
Spermophilus columbianus,576,,,,,,,,,,,,,,,
Spermophilus elegans,326.02,,,,,,,,4,1,,0.0167,,,,
Spermophilus franklinii,645,,,,,,,,,,0.9083,,0.0151,,,
Spermophilus lateralis,257,,,,,,,,7,1,,0.0167,,,,
Spermophilus madrensis,154,,,,,,,,,,,,,,,
Spermophilus parryii,,,,,,,,,9,1,,0.0167,,,,
Spermophilus richardsonii,342.5,,,,,,,,,,0.9306,,0.0155,,,
Spermophilus saturatus,275,,,,,,,,4,0.8333,0.9306,0.0139,0.0155,,,
Spermophilus tereticaudus,125,,,,,,,,,0.875,,0.0146,,,,
Spermophilus townsendii,,,176,222,,,,,,,,,0.0167,,,
Spermophilus tridecemlineatus,125,,,,,,,,,1,0.625,0.0167,0.0164,,,
Spermophilus variegatus,725,,,,,,,,,1.5,,0.025,,,,
Spermophilus washingtoni,210,,,,,,,,,1,,0.0167,,,,
Sphaeronycteris toxophyllum,17,,,,,,,,,,,,,,,
Spheniscus demersus,3100,,,,,,,,27,5,,0.0667,,,,
Spheniscus humboldti,4500,,,,,,,,,2.5,,0.05,,,,
Spheniscus magellanicus,5000,,,,,,,,27.5,4,2.8889,0.0667,0.0481,,,
Spheniscus mendiculus,2150,,,,,,,,17.5,5,,0.0583,,,,
Sphenodon guntheri,900,,,,,,,,100,,,0.25,,,,
Sphenodon punctatus,700,,,,,,,,,,12.1667,,0.2028,,,
Sphiggurus insidiosus,1350,,,,,,,,15,2,,0.0333,,,,
Sphiggurus mexicanus,2000,,,,,,,,,,,,,,,
Sphyraena barracuda,40000,,,,,,,,,2.0556,2.0278,0.0676,0.0676,,,
Sphyrapicus ruber,53.5,,,,,,,,2.5,,,,,,,
Sphyrapicus varius,49,,,,,,,,6.75,,,,,,,
Sphyrna lewini,152400,,,,,,,,21,6,,0.2667,,,,
Sphyrna mokarran,430000,,,,,,,,,,,,,,,
Sphyrna tiburo,3.5,,,,,,,,,,,,,,,
Spilocuscus maculatus,2550,,,,,,,,11,,0.675,,,,,
Spilocuscus rufoniger,6500,,,,,,,,,,,,,,,
Spilogale putorius,600,,,,,,,,,,0.4222,,0.007,,,
Spilornis cheela,1110,,,,,,,,,,,,,,,
Spizella arborea,22,,,,,,,,10.75,,,,,,,
Spizella passerina,13.25,,,,,,,,9.75,1,,0.0167,,,,
Spizella pusilla,13.55,,,,,,,,8.75,1,,0.0167,,,,
Squalus acanthias,6100,,,,,,,,60,,8.7861,,0.355,,,
Squatina californica,27000,,,,,,,,35,8,,0.2167,0.169,,,
Stagonopleura guttata,17,,,,,,,,6,0.75,,0.0125,,,,
Stellula calliope,2.8,,,,,,,,5.5,0.8333,,0.0139,,,,
Stenella attenuata,112500,,,,,,,,46,14.7,10.9889,0.1742,0.1381,,,
Stenella clymene,85000,,,,,,,,,,,,,,,
Stenella coeruleoalba,150,,,,,,,,50,11,,0.15,,,,
Stenella frontalis,90000,,,,,,,,,12,,0.15,,,,
Stenella longirostris,65000,,,,,,,,,11,,0.1292,,,,
Steno bredanensis,125000,,,,,,,,32,7.5,,0.1583,,,,
Stercorarius longicaudus,295,,,,,,,,8.5,,,,,,,
Stercorarius parasiticus,450,,,,,,,,32.08,4.5,,0.075,,,,
Stereolepis gigas,255600,,,,,,,,75,12,,0.2,,,,
Sterna caspia,656,,,,,,,,,3,,0.05,,,,
Sterna forsteri,160,,,,,,,,15.83,2,,0.0333,,,,
Sterna hirundo,120,,,,,,,,9.5,3,,0.05,,,,
Sterna paradisaea,100,,,,,,,,34,,,,,,,
Sterna sandvicensis,220.5,,,,,,,,,3.5,,0.0583,,,,
Stomolophus meleagris,760.5,,,,,,,,,,,,,,,
Streptopelia roseogrisea,155,,,,,,,,,,,,,,,
Strigocuscus celebensis,1000,,,,,,,,,,,,,,,
Strigops habroptila,3500,,,,,,,,,,,0.175,,,,
Strix nebulosa,1122,,,,,,,,12.75,,,,,,,
Strix occidentalis,571,,,,,,,,21,,1.0139,,0.0169,,,
Strix varia,715,,,,,,,,18.17,2,,0.0333,,,,
Strix virgata,247.5,,,,,,,,,,,,,,,
Struthidea cinerea,120,,,,,,,,,,,,,,,
Struthio camelus,110000,,,,,,,,,,,,,,,
Sturnella loyca,83.5,,,,,,,,,,,,,,,
Sturnella magna,120,,,,,,,,5,1,,0.0167,,,,
Sturnira lilium,15.5,,,,,,,,20,0.7917,,0.0132,,,,
Sturnira magna,46.55,,,,,,,,,,,,,,,
Sturnus vulgaris,85,,,,,,,,15.25,,,,,,,
Sula dactylatra,1786.5,,,,,,,,25.5,4,,0.0667,,,,
Sula leucogaster,1300,,,,,,,,27.2,3.55,,0.0592,,,,
Sula nebouxii,1530,,,,,,,,,,,,,,,
Sula sula,951.5,,,,,,,,23,2.5,,0.0417,,,,
Suncus etruscus,,,,,,,,,2.25,,1.0139,,0.0169,,,
Suncus murinus,85.15,,,,,,,,1.5,,0.1,0.0016,0.0017,,,
Sundasciurus hippurus,340,,,,,,,,,,,,,,,
Suricata suricatta,725.5,,,,,,,,1,1,1.0139,0.0167,0.0169,,,
Surnia ulula,346.4,,,,,,,,10,,,,,,,
Sus barbatus,95500,,,,,,,,,,,,,,,
Sus celebensis,55000,,,,,,,,10,,,0.025,,,,
Sus salvanius,8000,,,,,,,,7.5,,1.9444,,0.0324,,,
Sus scrofa,169000,,,,,,,,12.5,0.5,,0.0139,0.0155,,,
Sus verrucosus,76000,,,,,,,,8,,,,0.0127,,,
Syconycteris australis,19.7,,,,,,,,,1,,0.0097,,,,
Sylvicapra grimmia,18500,,,,,,,,,,0.7083,,0.0118,,,
Sylvilagus aquaticus,2157,,,,,,,,1.8,0.5153,,0.0086,,,,
Sylvilagus audubonii,900,,,,,,,,,,0.2972,,0.0076,,,
Sylvilagus bachmani,710,,,,,,,,,,,,0.0071,,,
Sylvilagus brasiliensis,850,,,,,,,,,,,,,,,
Sylvilagus floridanus,1170,,,,,,,,5,0.2083,,0.0035,,,,
Sylvilagus graysoni,1470,,,,,,,,,,,,,,,
Sylvilagus nuttallii,950,,,,,,,,,0.25,,0.0042,,,,
Sylvilagus obscurus,900,,,,,,,,1,0.2083,,0.0035,,,,
Sylvilagus palustris,1700,,,,,,,,4,,,,0.0101,,,
Sylvilagus robustus,1550,,,,,,,,3,1,,0.0167,,,,
Sylvilagus transitionalis,1171,,,,,,,,3,1,,0.0167,,,,
Sympetrum vicinum,5.5,,,,,,,,,,,,,,,
Symphalangus syndactylus,11000,,,,,,,,,6.5,,0.1083,,,,
Synaptomys borealis,31,,,,,,,,,,,,,,,
Synaptomys cooperi,35,,,,,,,,1,0.0972,,,,,,
Syncerus caffer,567500,,,,,,,,11,4.5,,0.0833,,,,
Tabanus lineola,0.05,,,,,,,,,,,,,,,
Tachycineta bicolor,19,,,,,,,,2.7,1,,0.0167,,,,
Tachyglossus aculeatus,4500,,,,,,,,45,,1.5222,,0.0254,,,
Tadarida aegyptiaca,16.3,,,,,,,,10,2,,0.0167,,,,
Tadarida australis,32.5,,,,,,,,,1.5833,,0.0118,,,,
Tadarida brasiliensis,9.5,,,,,,,,8,2,1.5194,0.0125,0.0126,,,
Taeniopygia guttata,12,,,,,,,,4.5,0.2292,,0.0038,,,,
Talpa europaea,100,,,,,,,,2.5,1,0.5056,0.0167,0.0084,,,
Tamandua mexicana,4500,,,,,,,,,1,,0.0167,,,,
Tamandua tetradactyla,4500,,,,,,,,,,,,0.0169,,,
Tamias alpinus,39,,,,,,,,2.5,,,,,,,
Tamias amoenus,51.5,,,,,,,,5,1.4583,,0.0243,,,,
Tamias canipes,70,,,,,,,,,0.8333,,0.0139,,,,
Tamias cinereicollis,62.5,,,,,,,,,1,,0.0167,,,,
Tamias dorsalis,70,,,,,,,,,,,,,,,
Tamias merriami,74.8,,,,,,,,5,,,,,,,
Tamias minimus,47.5,,,,,,,,,0.8333,,0.0139,,,,
Tamias obscurus,73,,,,,,,,,,,,,,,
Tamias palmeri,59.7,,,,,,,,2.5,0.8333,,0.0139,,,,
Tamias panamintinus,90,,,,,,,,,0.8333,,0.0139,,,,
Tamias quadrimaculatus,89.5,,,,,,,,,0.8333,,0.0139,0.0157,,,
Tamias quadrivittatus,54,,,,,,,,,0.375,,,0.0148,,,
Tamias ruficaudus,60,,,,,,,,8,,,,0.0155,,,
Tamias rufus,,53.6,,,,,,,,,,0.0146,,,,
Tamias sibiricus,100,,,,,,,,3.5,0.75,,0.0125,,,,
Tamias speciosus,59,,,,,,,,3,0.9167,,0.0153,,,,
Tamias striatus,90.5,,,,,,,,8,1,0.6333,0.0167,0.0087,,,
Tamias townsendii,,97,76.3,68.1,,,,,7,,,,,,,
Tamias umbrinus,59.3,,,,,,,,,0.8333,,0.0139,,,,
Tamiasciurus douglasii,226.5,,,,,,,,,0.7083,,0.0118,,,,
Tamiasciurus hudsonicus,212.97,,,,,,,,5,1,,0.0167,0.0158,,,
Tamiops swinhoei,60,,,,,,,,,,,,,,,
Tapera naevia,55,,,,,,,,,,,,,,,
Taphozous mauritianus,28,,,,,,,,,,,,,,,
Taphozous melanopogon,30,,,,,,,,12.5,0.375,,0.0063,,,,
Taphozous melanopogon phillipinensis,30,,,,,,,,,,,,,,,
Tapinoma sessile,0,,,,,,,,0.62,,,,,,,
Tapirus bairdii,225000,,,,,,,,,,,,,,,
Tapirus indicus,296000,,,,,,,,25,3,3.0417,0.0467,0.0507,,,
Tapirus pinchaque,159000,,,,,,,,,,,,,,,
Tapirus terrestris,200000,,,,,,,,30,,3.0417,0.041,,,,
Tarsipes rostratus,12,,,,,,,,2,0.25,,0.0042,,,,
Tarsius bancanus,128,,,,,,,,8,,,,0.0426,,,
Tarsius dentatus,100,,,,,,,,,,,,,,,
Tarsius pumilus,50,,,,,,,,,,,,,,,
Tarsius syrichta,125,,,,,,,,,,,,,,,
Tarsius tarsier,116,,,,,,,,10,1.4167,,0.0236,,,,
Tasmacetus shepherdi,6050000,,,,,,,,,,,,,,,
Tatera indica,163.5,,,,,,,,,0.1944,,0.0032,,,,
Taurotragus derbianus,1000000,,,,,,,,,,,,0.0513,,,
Taurotragus oryx,650000,,,,,,,,,,1.5861,,0.0273,,,
Taxidea taxus,8000,,,,,,,,14,1.3333,1.225,0.0167,,,,
Tayassu pecari,32500,,,,,,,,13.3,,1.5222,,0.0254,,,
Telmatobius culeus,250,,,,,,,,,5,,0.0833,,,,
Tenodera aridifolia,3,,,,,,,,0.62,0.5,,0.0083,,,,
Tenrec ecaudatus,2000,,,,,,,,,,,,0.0084,,,
Terrapene ornata,398,,,,,,,,40,5,,0.1333,,,,
Testudo hermanni,2250,,,,,,,,,,,,,,,
Tetracerus quadricornis,20000,,,,,,,,10,,,,0.0169,,,
Tetrao urogallus,4078,,,,,,,,3.5,,,,,,,
Tetrapturus audax,224000,,,,,,,,9,1.5,,0.0333,,,,
Thalassarche melanophrys,4000,,,,,,,,30,8,,0.1333,,,,
Thallomys paedulcus,68,,,,,,,,,0.2972,,0.005,,,,
Thamnophis elegans,150,,,,,,,,,2,,0.0333,,,,
Thamnophis sirtalis,150,,,,,,,,2,1.5,2.0278,0.0333,0.0338,,,
Theodoxus fluviatilis,0.05,,,,,,,,3.5,1.5,,0.025,,,,
Theragra chalcogramma,700,,,,,,,,31,4.5,,0.0583,,,,
Theropithecus gelada,17000,,,,,,,,20,0.5,,0.075,,,,
Thomomys bottae,115.5,,,,,,,,4.8,,0.8861,,0.0148,,,
Thomomys bulbivorus,550,,,,,,,,,0.8333,,0.0139,,,,
Thomomys talpoides,110,,,,,,,,21,0.375,,0.0063,,,,
Threskiornis aethiopicus,1500,,,,,,,,20,,,,,,,
Thryonomys gregorianus,5080,,,,,,,,3,1,,0.0167,,,,
Thryonomys swinderianus,4000,,,,,,,,4.3,1,1.0139,0.0167,0.0169,,,
Thryothorus ludovicianus,20,,,,,,,,9.25,1,,0.0167,,,,
Thunnus alalunga,60300,,,,,,,,13,5,,0.0833,,,,
Thunnus thynnus,250000,,,,,,,,15,5,,0.0833,,,,
Thylacinus cynocephalus,22500,,,,,,,,8,,,,,,,
Thylamys karimii,28,,,,,,,,,,,,,,,
Thylamys macrurus,43.5,,,,,,,,,,,,,,,
Thylamys pallidior,19,,,,,,,,,,,,,,,
Thylamys velutinus,24,,,,,,,,,,,,,,,
Thylogale billardierii,7250,,,,,,,,5.5,1.2083,,0.0201,,,,
Thylogale stigmatica,4650,,,,,,,,9.7,1.3514,,0.0166,,,,
